,parameters,train_MSE,test_MSE
0,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 2}",0.004630326759070158,0.007953943684697151
1,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 4}",0.005034244619309902,0.008505083620548248
2,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 8}",0.004853141959756613,0.008058259263634682
3,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 16}",0.0044833216816186905,0.00784736592322588
4,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 32}",0.004536938853561878,0.007719382643699646
5,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 2}",0.0037985281087458134,0.007684742566198111
6,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 4}",0.003783090738579631,0.007535658776760101
7,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 8}",0.004104656632989645,0.007939447648823261
8,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 16}",0.0037832939997315407,0.007626614533364773
9,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 32}",0.003764583496376872,0.007519691251218319
10,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 2}",0.005496263969689608,0.008904137648642063
11,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 4}",0.0050309794023633,0.008215595968067646
12,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 8}",0.004901135340332985,0.008139031939208508
13,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 16}",0.0034535054583102465,0.007751842960715294
14,"{'desc_words': 5000, 'trainable': False, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 32}",0.00334335514344275,0.00750292744487524
15,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 2}",0.0049738651141524315,0.008630235679447651
16,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 4}",0.004154620226472616,0.007927672937512398
17,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 8}",0.004534289240837097,0.0078933360055089
18,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 16}",0.004373809322714806,0.007815039716660976
19,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 32}",0.0039975084364414215,0.007875458337366581
20,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 2}",0.003732228185981512,0.00774022052064538
21,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 4}",0.003916504792869091,0.008040431886911392
22,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 8}",0.0036991687957197428,0.007610708009451628
23,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 16}",0.003816070035099983,0.007784904912114143
24,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 32}",0.0041520907543599606,0.007841824553906918
25,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 2}",0.003524018684402108,0.007733614183962345
26,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 4}",0.004710170906037092,0.008063717745244503
27,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 8}",0.004375196062028408,0.008319096639752388
28,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 16}",0.0035079610534012318,0.007555789314210415
29,"{'desc_words': 5000, 'trainable': False, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 32}",0.0035969724413007498,0.007708159275352955
30,"{'desc_words': 5000, 'trainable': True, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 2}",0.004703924525529146,0.007955078035593033
31,"{'desc_words': 5000, 'trainable': True, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 4}",0.00418753270059824,0.0077681150287389755
32,"{'desc_words': 5000, 'trainable': True, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 8}",0.004018663428723812,0.007749126758426428
33,"{'desc_words': 5000, 'trainable': True, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 16}",0.004132549744099379,0.007855125702917576
34,"{'desc_words': 5000, 'trainable': True, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 32}",0.004141727928072214,0.007922467775642872
35,"{'desc_words': 5000, 'trainable': True, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 2}",0.004049986135214567,0.007812350522726774
