,parameters,train_MSE,test_MSE
0,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 8, 'units layer 2': 4}",0.023013297468423843,0.02335970290005207
1,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 8, 'units layer 2': 8}",0.030401617288589478,0.030940283089876175
2,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 16, 'units layer 2': 4}",0.007816986180841923,0.009320294484496117
3,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 16, 'units layer 2': 8}",0.012855672277510166,0.01394726149737835
4,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 16, 'units layer 2': 16}",0.012995525263249874,0.014094419777393341
5,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 32, 'units layer 2': 4}",0.009199501015245914,0.010083524510264397
6,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 32, 'units layer 2': 8}",0.007501751650124788,0.008917725645005703
7,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 32, 'units layer 2': 16}",0.008914114907383919,0.009939528070390224
8,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 32, 'units layer 2': 32}",0.012128053233027458,0.013292678631842136
9,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 64, 'units layer 2': 4}",0.007236565463244915,0.008998903445899487
10,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 64, 'units layer 2': 8}",0.007612430024892092,0.00900017935782671
11,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 64, 'units layer 2': 16}",0.012960209511220455,0.014058291912078857
12,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 64, 'units layer 2': 32}",0.007317796349525452,0.009240757673978806
13,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 64, 'units layer 2': 64}",0.0075797406025230885,0.009210558608174324
14,"{'desc_words': 1000, 'desc_len': 135, 'activation': 'relu', 'units layer 1': 128, 'units layer 2': 4}",0.006349875126034021,0.008523817174136639
